iter	RMSE
0	4.393397111
1	4.304706162
2	4.224917998
3	4.117181554
4	4.028805652
5	3.943250541
6	3.83493844
7	3.751026836
8	3.651063493
9	3.568741932
10	3.502814021
11	3.438166884
12	3.357548137
13	3.297384351
14	3.223872952
15	3.172596213
16	3.114682009
17	3.068017795
18	3.00858566
19	2.948410062
20	2.902839504
21	2.85254445
22	2.786701517
23	2.734359801
24	2.676872401
25	2.617885531
26	2.560205208
27	2.51405052
28	2.47559245
29	2.43229272
30	2.383965126
31	2.349532759
32	2.31751579
33	2.285088788
34	2.244080538
35	2.212724178
36	2.17770704
37	2.145150407
38	2.115639453
39	2.08395212
40	2.05446395
41	2.026627865
42	1.996871994
43	1.976242517
44	1.949366902
45	1.929701803
46	1.898269858
47	1.870136984
48	1.845587674
49	1.82042155
50	1.790718114
51	1.766494912
52	1.744693042
53	1.725972195
54	1.705460166
55	1.682235438
56	1.65976307
57	1.640316529
58	1.619884183
59	1.597808874
60	1.580060975
61	1.565538079
62	1.551519137
63	1.534690912
64	1.519726918
65	1.496394841
66	1.483228212
67	1.473517088
68	1.462607137
69	1.448177143
70	1.439865026
71	1.428872656
72	1.419789461
73	1.405218114
74	1.387100645
75	1.376009069
76	1.364370746
77	1.35561566
78	1.341865288
79	1.335979578
80	1.328028052
81	1.315026558
82	1.305318747
83	1.298639098
84	1.293643767
85	1.288412928
86	1.27768616
87	1.268331672
88	1.256927555
89	1.252570962
90	1.244674463
91	1.233471505
92	1.226653318
93	1.220546053
94	1.209930362
95	1.196494201
96	1.18901626
97	1.182934762
98	1.178003541
99	1.167849952
100	1.161012822
101	1.154542919
102	1.143389712
103	1.13687179
104	1.133352876
105	1.126914782
106	1.11901872
107	1.111620841
108	1.100884743
109	1.092856187
110	1.088709035
111	1.084057695
112	1.078066126
113	1.072356978
114	1.068557314
115	1.064583009
116	1.06013144
117	1.056437734
118	1.049335531
119	1.045814627
120	1.044430562
121	1.040943155
122	1.035711237
123	1.032756923
124	1.02560834
125	1.020377379
126	1.014510804
127	1.009434377
128	1.005076809
129	1.000117982
130	0.9943898753
131	0.9926500638
132	0.9884184095
133	0.9860378372
134	0.9799960046
135	0.9776191327
136	0.9731927831
137	0.9680799064
138	0.9615677924
139	0.9577446412
140	0.9518334115
141	0.948352876
142	0.9438014207
143	0.9408214481
144	0.9352611309
145	0.931278529
146	0.9286750249
147	0.9270011465
148	0.924547067
149	0.9231049469
150	0.9206080755
151	0.9149385821
152	0.9074883642
153	0.904450098
154	0.901141703
155	0.8979421174
156	0.894706636
157	0.8928543073
158	0.8908393751
159	0.8890719378
160	0.8859228749
161	0.8822735748
162	0.8800612393
163	0.875341477
164	0.8745111535
165	0.8690691748
166	0.8655146914
167	0.8612443114
168	0.8595019012
169	0.8571202146
170	0.8534370783
171	0.8494835936
172	0.845927453
173	0.8423010142
174	0.8393815675
175	0.8375897037
176	0.8364669555
177	0.835072688
178	0.8320019558
179	0.8295872356
180	0.8275024821
181	0.8258015162
182	0.8238554451
183	0.8223761346
184	0.8200752074
185	0.8165040991
186	0.8116162644
187	0.8066306643
188	0.8042398969
189	0.7998754769
190	0.7966474375
191	0.7918176156
192	0.7895626277
193	0.7877480178
194	0.7854233874
195	0.7798092858
196	0.778722978
197	0.7760907684
198	0.7744780579
199	0.7724347718
200	0.7714541127
201	0.7694157348
202	0.7663658501
203	0.7651268848
204	0.7626213078
205	0.7584857499
206	0.7562250548
207	0.755147855
208	0.7541512163
209	0.7507737926
210	0.7457004661
211	0.7431346848
212	0.741093984
213	0.7398593627
214	0.7364081264
215	0.7338711381
216	0.7330667852
217	0.7310453991
218	0.7293447852
219	0.7281724099
220	0.7273073569
221	0.7249896617
222	0.7237749743
223	0.7231748651
224	0.7216314015
225	0.7209490107
226	0.7185748035
227	0.7177510933
228	0.7143391998
229	0.7123274545
230	0.7101627025
231	0.709403347
