iter	Passed	Remaining
0	161	161040
1	189	94795
2	237	79083
3	281	70084
4	314	62495
5	338	56130
6	376	53373
7	409	50733
8	432	47667
9	469	46451
10	476	42815
11	483	39817
12	507	38505
13	530	37394
14	562	36930
15	593	36504
16	605	34989
17	628	34308
18	643	33217
19	672	32971
20	703	32785
21	725	32273
22	764	32470
23	801	32594
24	839	32735
25	850	31860
26	873	31495
27	900	31246
28	925	30986
29	949	30710
30	975	30487
31	1000	30254
32	1031	30225
33	1038	29514
34	1064	29345
35	1087	29124
36	1102	28703
37	1124	28471
38	1156	28499
39	1188	28533
40	1218	28489
41	1250	28517
42	1281	28513
43	1293	28107
44	1316	27932
45	1345	27909
46	1372	27830
47	1401	27791
48	1435	27852
49	1472	27970
50	1502	27963
51	1531	27929
52	1562	27912
53	1594	27926
54	1626	27945
55	1649	27807
56	1674	27695
57	1684	27360
58	1720	27437
59	1751	27447
60	1783	27452
61	1805	27318
62	1829	27205
63	1861	27218
64	1871	26925
65	1909	27016
66	1939	27002
67	1968	26983
68	1993	26894
69	2031	26988
70	2062	26986
71	2109	27193
72	2139	27169
73	2162	27062
74	2184	26940
75	2194	26681
76	2214	26549
77	2245	26538
78	2267	26432
79	2275	26166
80	2312	26236
81	2340	26206
82	2373	26227
83	2403	26207
84	2410	25951
85	2449	26034
86	2471	25933
87	2496	25874
88	2519	25792
89	2541	25693
90	2571	25690
91	2593	25598
92	2619	25549
93	2650	25549
94	2682	25553
95	2712	25544
96	2743	25540
97	2758	25388
98	2780	25302
99	2806	25257
100	2839	25273
101	2868	25252
102	2899	25255
103	2933	25271
104	2962	25252
105	2997	25282
106	3026	25257
107	3056	25241
108	3088	25245
109	3121	25256
110	3150	25235
111	3170	25136
112	3197	25095
113	3226	25076
114	3258	25075
115	3290	25074
116	3319	25052
117	3349	25035
118	3382	25042
119	3405	24971
120	3413	24793
121	3444	24787
122	3464	24705
123	3490	24659
124	3520	24642
125	3551	24635
126	3582	24622
127	3613	24616
128	3644	24606
129	3675	24596
130	3707	24591
131	3721	24468
132	3743	24405
133	3782	24446
134	3812	24430
135	3843	24419
136	3875	24415
137	3905	24397
138	3930	24346
139	3970	24387
140	3997	24351
141	4021	24297
142	4044	24239
143	4075	24228
144	4106	24212
145	4138	24210
146	4168	24187
147	4198	24171
148	4229	24157
149	4240	24029
150	4261	23962
151	4284	23900
152	4307	23844
153	4340	23842
154	4371	23830
155	4394	23773
156	4417	23717
157	4447	23699
158	4479	23693
159	4510	23678
160	4541	23665
161	4572	23651
162	4603	23640
163	4633	23618
164	4660	23586
165	4696	23597
166	4725	23571
167	4757	23561
168	4788	23546
169	4820	23534
170	4850	23516
171	4882	23505
172	4913	23489
173	4943	23468
174	4974	23449
175	5006	23437
176	5036	23419
177	5068	23408
178	5097	23380
179	5119	23320
180	5145	23282
181	5173	23252
182	5206	23243
183	5236	23224
184	5268	23211
185	5298	23188
186	5319	23127
187	5346	23090
188	5368	23038
189	5408	23058
190	5438	23036
191	5472	23029
192	5502	23009
193	5525	22955
194	5564	22973
195	5612	23024
196	5644	23009
197	5675	22986
198	5707	22971
199	5729	22917
200	5753	22871
201	5784	22850
202	5817	22841
203	5847	22817
204	5880	22805
205	5907	22769
206	5929	22716
207	5958	22687
208	5983	22646
209	6019	22644
210	6049	22622
211	6082	22607
212	6112	22583
213	6143	22563
214	6167	22518
215	6205	22524
216	6235	22499
217	6268	22484
218	6298	22463
219	6327	22433
220	6360	22418
221	6383	22371
222	6405	22317
223	6434	22291
224	6466	22273
225	6497	22251
226	6527	22227
227	6550	22178
228	6575	22137
229	6605	22114
230	6634	22087
231	6656	22035
232	6681	21995
233	6711	21970
234	6742	21949
235	6764	21897
236	6789	21858
237	6820	21837
238	6843	21790
239	6881	21790
240	6910	21765
241	6943	21747
242	6973	21724
243	7004	21702
244	7028	21660
245	7052	21616
246	7082	21592
247	7106	21547
248	7128	21499
249	7161	21485
250	7186	21444
251	7209	21399
252	7254	21418
253	7285	21396
254	7316	21376
255	7345	21348
256	7369	21304
257	7394	21267
258	7425	21243
259	7456	21221
260	7487	21200
261	7517	21175
262	7547	21150
263	7570	21105
264	7593	21061
265	7619	21024
266	7652	21008
267	7688	21000
268	7719	20976
269	7742	20932
270	7764	20886
271	7796	20866
272	7828	20846
273	7859	20825
274	7888	20797
275	7919	20774
276	7953	20758
277	7982	20731
278	8012	20707
279	8045	20689
280	8074	20661
281	8105	20637
282	8127	20590
283	8153	20556
284	8181	20524
285	8209	20493
286	8243	20479
287	8273	20454
288	8297	20414
289	8321	20374
290	8343	20328
291	8368	20290
292	8400	20271
293	8445	20281
294	8476	20257
295	8507	20233
296	8529	20188
297	8550	20142
298	8585	20128
299	8607	20083
300	8630	20041
301	8663	20023
302	8694	20000
303	8726	19978
304	8749	19936
305	8773	19897
306	8796	19856
307	8821	19820
308	8854	19800
309	8882	19771
310	8905	19730
311	8929	19690
312	8951	19648
313	8974	19607
314	9004	19582
315	9035	19557
316	9058	19516
317	9092	19499
318	9127	19484
319	9148	19441
320	9174	19406
321	9205	19382
322	9236	19358
323	9266	19334
324	9314	19345
325	9345	19320
326	9374	19294
327	9406	19271
328	9437	19246
329	9467	19222
330	9499	19199
331	9531	19177
332	9560	19150
333	9593	19129
334	9624	19104
335	9654	19078
336	9687	19058
337	9717	19033
338	9750	19011
339	9792	19008
340	9826	18989
341	9857	18964
342	9887	18939
343	9917	18913
344	9940	18871
345	9965	18835
346	9994	18807
347	10024	18781
348	10056	18758
349	10092	18743
350	10115	18702
351	10148	18682
352	10169	18639
353	10194	18603
354	10227	18581
355	10254	18549
356	10286	18527
357	10320	18506
358	10346	18473
359	10376	18447
360	10418	18441
361	10442	18404
362	10472	18377
363	10502	18351
364	10526	18313
365	10577	18322
366	10612	18303
367	10641	18274
368	10673	18251
369	10695	18211
370	10717	18170
371	10752	18151
372	10783	18126
373	10814	18101
374	10844	18074
375	10879	18055
376	10922	18049
377	10951	18020
378	10983	17996
379	11014	17970
380	11042	17939
381	11074	17915
382	11106	17892
383	11132	17858
384	11169	17841
385	11189	17799
386	11213	17762
387	11246	17738
388	11276	17712
389	11307	17686
390	11339	17662
391	11369	17634
392	11399	17607
393	11421	17566
394	11446	17532
395	11477	17506
396	11508	17479
397	11538	17452
398	11584	17449
399	11615	17422
400	11647	17398
401	11677	17370
402	11706	17342
403	11739	17318
404	11770	17292
405	11797	17259
406	11832	17240
407	11862	17211
408	11892	17184
409	11920	17153
410	11954	17132
411	11985	17105
412	12008	17067
413	12034	17033
414	12063	17004
415	12084	16965
416	12107	16927
417	12136	16898
418	12173	16880
419	12201	16850
420	12222	16809
421	12251	16780
422	12282	16754
423	12313	16728
424	12337	16691
425	12362	16657
426	12393	16630
427	12424	16605
428	12456	16580
429	12486	16551
430	12518	16526
431	12540	16488
432	12565	16453
433	12593	16423
434	12633	16408
435	12660	16377
436	12682	16339
437	12706	16303
438	12736	16276
439	12766	16248
440	12798	16222
441	12819	16184
442	12842	16147
443	12876	16124
444	12907	16098
445	12934	16066
446	12968	16043
447	13000	16018
448	13029	15989
449	13062	15965
450	13092	15937
451	13122	15910
452	13155	15885
453	13185	15857
454	13215	15829
455	13238	15793
456	13263	15759
457	13293	15731
458	13325	15705
459	13346	15668
460	13371	15634
461	13400	15605
462	13423	15568
463	13449	15536
464	13479	15508
465	13510	15481
466	13542	15456
467	13572	15428
468	13603	15402
469	13635	15375
470	13665	15348
471	13696	15321
472	13718	15284
473	13755	15264
474	13786	15237
475	13822	15216
476	13845	15180
477	13882	15160
478	13910	15130
479	13944	15106
480	13974	15078
481	14006	15052
482	14036	15024
483	14059	14988
484	14096	14968
485	14129	14943
486	14161	14917
487	14192	14890
488	14220	14860
489	14257	14839
490	14301	14825
491	14325	14791
492	14363	14770
493	14393	14743
494	14415	14707
495	14439	14672
496	14470	14645
497	14499	14615
498	14531	14590
499	14562	14562
500	14593	14535
501	14625	14509
502	14657	14482
503	14688	14455
504	14719	14427
505	14750	14400
506	14780	14372
507	14813	14347
508	14844	14319
509	14874	14290
510	14902	14260
511	14937	14237
512	14965	14207
513	14997	14180
514	15029	14153
515	15056	14122
516	15092	14100
517	15119	14068
518	15161	14051
519	15188	14020
520	15216	13989
521	15247	13962
522	15278	13934
523	15310	13907
524	15338	13878
525	15370	13851
526	15402	13823
527	15434	13797
528	15462	13767
529	15493	13739
530	15523	13710
531	15548	13678
532	15586	13656
533	15608	13621
534	15646	13599
535	15677	13571
536	15708	13543
537	15739	13516
538	15772	13489
539	15799	13458
540	15834	13434
541	15864	13405
542	15890	13374
543	15919	13344
544	15951	13317
545	15985	13292
546	16017	13264
547	16047	13236
548	16079	13208
549	16111	13182
550	16141	13153
551	16180	13132
552	16220	13111
553	16250	13082
554	16272	13047
555	16304	13020
556	16328	12986
557	16354	12954
558	16388	12928
559	16409	12892
560	16434	12860
561	16466	12832
562	16497	12805
563	16527	12776
564	16558	12748
565	16581	12714
566	16607	12682
567	16632	12650
568	16666	12624
569	16698	12597
570	16728	12568
571	16760	12541
572	16792	12513
573	16815	12479
574	16853	12457
575	16884	12428
576	16915	12400
577	16947	12373
578	16979	12345
579	17007	12316
580	17041	12289
581	17071	12260
582	17097	12229
583	17133	12204
584	17163	12175
585	17204	12154
586	17244	12132
587	17266	12098
588	17306	12076
589	17335	12046
590	17365	12017
591	17397	11989
592	17428	11962
593	17457	11932
594	17489	11904
595	17521	11876
596	17551	11847
597	17583	11820
598	17614	11792
599	17643	11762
600	17668	11730
601	17696	11699
602	17727	11671
603	17752	11639
604	17774	11604
605	17803	11575
606	17835	11547
607	17856	11512
608	17878	11478
609	17927	11462
610	17949	11427
611	17974	11395
612	17996	11361
613	18021	11329
614	18052	11301
615	18082	11272
616	18113	11244
617	18143	11215
618	18165	11180
619	18190	11149
620	18223	11121
621	18251	11091
622	18273	11057
623	18313	11034
624	18335	11001
625	18359	10968
626	18386	10937
627	18408	10904
628	18437	10875
629	18462	10842
630	18495	10816
631	18531	10790
632	18562	10762
633	18589	10731
634	18611	10697
635	18638	10667
636	18669	10638
637	18700	10610
638	18728	10580
639	18760	10552
640	18796	10527
641	18825	10497
642	18855	10468
643	18885	10439
644	18916	10411
645	18947	10383
646	18979	10354
647	19012	10327
648	19041	10298
649	19072	10269
650	19095	10237
651	19120	10205
652	19151	10176
653	19181	10147
654	19209	10118
655	19241	10089
656	19268	10059
657	19306	10034
658	19333	10003
659	19363	9975
660	19398	9948
661	19420	9915
662	19445	9883
663	19476	9855
664	19497	9822
665	19519	9789
666	19541	9755
667	19570	9726
668	19600	9697
669	19633	9670
670	19654	9637
671	19679	9605
672	19708	9576
673	19736	9546
674	19771	9519
675	19802	9490
676	19833	9462
677	19865	9434
678	19895	9405
679	19928	9378
680	19959	9349
681	19989	9320
682	20022	9293
683	20067	9270
684	20096	9241
685	20117	9208
686	20144	9178
687	20177	9150
688	20208	9121
689	20247	9096
690	20287	9072
691	20317	9043
692	20347	9013
693	20378	8985
694	20409	8956
695	20438	8927
696	20470	8898
697	20502	8870
698	20533	8841
699	20562	8812
700	20594	8784
701	20624	8755
702	20647	8723
703	20671	8691
704	20702	8662
705	20750	8641
706	20781	8612
707	20811	8583
708	20841	8554
709	20872	8525
710	20902	8496
711	20928	8465
712	20960	8437
713	20994	8409
714	21015	8376
715	21040	8345
